G16,G22,G23,G19,G10,G05,G29,G08,G09,G25,G06,G30,G01,G17,G02,G26,G31,G04,G32,G14,G21,G24,G07,G03,G27,G13,G20,G11,G18,G15,G12
30.0,13950.0,37890.0,7980.0,5760.0,24090.0,31290.0,6330,34140.0,45720.0,10680.0,330.0,5730.0,2730.0,26940.0,59160.0,13230.0,23940.0,30.0,9630.0,16830.0,36480.0,630.0,300.0,3330.0,51030.0,18870.0,36510.0,44400.0,30180.0,42090.0
330.0,52830.0,37950.0,8040.0,51390.0,24210.0,31500.0,6630,73050.0,45870.0,10770.0,390.0,6810.0,23160.0,27000.0,59220.0,54660.0,24090.0,330.0,9930.0,16890.0,36690.0,840.0,330.0,3630.0,51090.0,18930.0,36570.0,44460.0,30300.0,42180.0
630.0,52890.0,37980.0,8130.0,51870.0,24390.0,32040.0,6930,73290.0,45960.0,10980.0,420.0,14460.0,23190.0,27180.0,59670.0,77100.0,24120.0,630.0,10230.0,16920.0,36720.0,870.0,390.0,3930.0,51120.0,18960.0,36600.0,44760.0,30330.0,42210.0
930.0,52920.0,38820.0,8160.0,55110.0,24420.0,53490.0,7230,73320.0,45990.0,11010.0,1080.0,16290.0,23220.0,27300.0,78660.0,77130.0,24600.0,930.0,10530.0,16950.0,36840.0,930.0,20010.0,4230.0,51150.0,19140.0,36630.0,81000.0,30360.0,42390.0
1530.0,53490.0,38880.0,8190.0,55170.0,41760.0,53520.0,7530,73350.0,46080.0,28500.0,1110.0,18630.0,23310.0,27330.0,78960.0,77160.0,24630.0,9630.0,10830.0,17010.0,36960.0,37680.0,23580.0,4440.0,51210.0,19170.0,36720.0,81090.0,30420.0,42420.0
1590.0,53520.0,38910.0,10680.0,55200.0,41820.0,53550.0,7590,73650.0,46140.0,28800.0,1260.0,18930.0,23340.0,39360.0,79260.0,77190.0,24750.0,9870.0,11130.0,17040.0,36990.0,75090.0,85710.0,4530.0,51240.0,42420.0,36750.0,81120.0,30450.0,42450.0
1620.0,68970.0,38940.0,10980.0,55230.0,41850.0,53610.0,7740,73740.0,46170.0,29100.0,1320.0,19230.0,23550.0,39420.0,79560.0,,24780.0,9960.0,11430.0,17160.0,37020.0,75120.0,85740.0,4590.0,51300.0,42480.0,36870.0,81150.0,30480.0,42480.0
1740.0,69000.0,39030.0,11280.0,55260.0,41970.0,53640.0,7830,,46260.0,29400.0,1350.0,19530.0,23670.0,39480.0,79860.0,,24810.0,48060.0,11730.0,76950.0,37050.0,77220.0,85770.0,4740.0,,42780.0,36900.0,81180.0,49530.0,
1770.0,69060.0,39060.0,11580.0,55290.0,42000.0,53670.0,7890,,46290.0,29700.0,1530.0,19830.0,23760.0,39510.0,79920.0,,24840.0,52110.0,12030.0,77250.0,,84690.0,85800.0,4830.0,,,36960.0,81210.0,49830.0,
1860.0,69090.0,39090.0,11880.0,55380.0,42090.0,,8040,,46380.0,30000.0,1560.0,20130.0,41940.0,41190.0,80070.0,,26820.0,52410.0,12330.0,,,84720.0,85830.0,4890.0,,,37110.0,,50130.0,
2160.0,69120.0,50880.0,12180.0,55410.0,42990.0,,8130,,46440.0,30300.0,1680.0,81120.0,42180.0,61620.0,80160.0,,64620.0,53310.0,12630.0,,,84750.0,86160.0,5040.0,,,,,50430.0,
65160.0,69750.0,51180.0,12480.0,55680.0,43290.0,,8190,,46470.0,30600.0,1800.0,81330.0,42210.0,61680.0,80220.0,,64770.0,61410.0,12930.0,,,84780.0,86280.0,5130.0,,,,,50730.0,
65220.0,69780.0,51480.0,12780.0,55770.0,43590.0,,8340,,46560.0,30900.0,1920.0,81420.0,42270.0,61710.0,80370.0,,64800.0,61710.0,13230.0,,,85110.0,86310.0,5190.0,,,,,51030.0,
65250.0,69810.0,51780.0,20580.0,56100.0,43890.0,,8430,,46590.0,31200.0,1950.0,81480.0,42300.0,74430.0,80460.0,,65790.0,62010.0,13530.0,,,85140.0,,5340.0,,,,,51330.0,
65310.0,,52080.0,20880.0,56190.0,44190.0,,8490,,46680.0,31500.0,2100.0,81510.0,42330.0,74490.0,80520.0,,65880.0,62310.0,13830.0,,,85170.0,,5430.0,,,,,51630.0,
65340.0,,52380.0,21180.0,56250.0,46890.0,,8520,,46740.0,31800.0,42600.0,81540.0,,75540.0,80670.0,,66030.0,62370.0,30540.0,,,85350.0,,5490.0,,,,,51930.0,
65550.0,,52680.0,21480.0,56280.0,68310.0,,8610,,46770.0,32100.0,80610.0,81630.0,,75600.0,80760.0,,66630.0,62520.0,30840.0,,,85410.0,,5640.0,,,,,52140.0,
65610.0,,52980.0,21780.0,,71490.0,,8640,,46860.0,32400.0,81330.0,81660.0,,75630.0,80820.0,,66660.0,62610.0,31140.0,,,85590.0,,5730.0,,,,,52230.0,
66060.0,,53280.0,22080.0,,71550.0,,8730,,46890.0,33330.0,81420.0,81690.0,,75660.0,80970.0,,66690.0,62670.0,31440.0,,,85980.0,,5790.0,,,,,52440.0,
66090.0,,53580.0,22140.0,,,,8790,,46980.0,54990.0,81450.0,81780.0,,75690.0,81060.0,,66720.0,62820.0,31740.0,,,86010.0,,5820.0,,,,,52530.0,
66120.0,,53880.0,22380.0,,,,8820,,47040.0,56610.0,81570.0,82080.0,,75750.0,81120.0,,66750.0,62910.0,32040.0,,,,,5910.0,,,,,52590.0,
66150.0,,55080.0,22440.0,,,,8910,,47190.0,59250.0,81600.0,82380.0,,75780.0,81270.0,,73470.0,62970.0,32340.0,,,,,5940.0,,,,,52830.0,
83970.0,,72480.0,22590.0,,,,8940,,47280.0,,82380.0,,,,81360.0,,73620.0,63120.0,32640.0,,,,,6030.0,,,,,52890.0,
84270.0,,72780.0,22680.0,,,,9030,,47340.0,,82440.0,,,,81420.0,,73710.0,63210.0,32940.0,,,,,6090.0,,,,,53130.0,
84570.0,,73080.0,22740.0,,,,9090,,47370.0,,82830.0,,,,81450.0,,73740.0,63270.0,33240.0,,,,,6120.0,,,,,53430.0,
84870.0,,73380.0,22890.0,,,,9210,,47460.0,,,,,,81570.0,,73920.0,63420.0,33540.0,,,,,6210.0,,,,,53640.0,
85170.0,,73680.0,22980.0,,,,9240,,47490.0,,,,,,81660.0,,73950.0,63510.0,33840.0,,,,,6240.0,,,,,53730.0,
85470.0,,73980.0,23040.0,,,,9330,,47580.0,,,,,,81720.0,,74130.0,63570.0,34140.0,,,,,6330.0,,,,,54030.0,
85770.0,,74280.0,23190.0,,,,9390,,47640.0,,,,,,81870.0,,74250.0,63720.0,34440.0,,,,,6390.0,,,,,54330.0,
86070.0,,,23280.0,,,,9420,,47670.0,,,,,,81960.0,,74430.0,63810.0,34740.0,,,,,6420.0,,,,,54630.0,
,,,23340.0,,,,9510,,47760.0,,,,,,82020.0,,,63870.0,47340.0,,,,,6510.0,,,,,,
,,,23490.0,,,,9540,,47790.0,,,,,,82050.0,,,64020.0,47370.0,,,,,6540.0,,,,,,
,,,23580.0,,,,9630,,47880.0,,,,,,82170.0,,,64110.0,47430.0,,,,,6630.0,,,,,,
,,,23880.0,,,,9690,,47940.0,,,,,,82260.0,,,64170.0,84570.0,,,,,6690.0,,,,,,
,,,24090.0,,,,9720,,47970.0,,,,,,82320.0,,,64320.0,84600.0,,,,,6720.0,,,,,,
,,,24180.0,,,,9810,,48090.0,,,,,,82470.0,,,64410.0,84720.0,,,,,6810.0,,,,,,
,,,24240.0,,,,9840,,48180.0,,,,,,82560.0,,,64470.0,84750.0,,,,,6840.0,,,,,,
,,,24480.0,,,,9930,,48240.0,,,,,,82620.0,,,64620.0,85140.0,,,,,6930.0,,,,,,
,,,24780.0,,,,9990,,48270.0,,,,,,82650.0,,,64710.0,85230.0,,,,,68160.0,,,,,,
,,,25080.0,,,,10020,,48390.0,,,,,,82740.0,,,64770.0,,,,,,68460.0,,,,,,
,,,25380.0,,,,10110,,48480.0,,,,,,82770.0,,,64920.0,,,,,,68760.0,,,,,,
,,,25680.0,,,,10140,,48540.0,,,,,,82860.0,,,65010.0,,,,,,,,,,,,
,,,25980.0,,,,10230,,48660.0,,,,,,82920.0,,,65070.0,,,,,,,,,,,,
,,,26280.0,,,,10290,,48690.0,,,,,,82950.0,,,65220.0,,,,,,,,,,,,
,,,43860.0,,,,10320,,48780.0,,,,,,83040.0,,,65310.0,,,,,,,,,,,,
,,,44160.0,,,,10410,,48840.0,,,,,,83070.0,,,65370.0,,,,,,,,,,,,
,,,44460.0,,,,10440,,48990.0,,,,,,83160.0,,,65520.0,,,,,,,,,,,,
,,,44760.0,,,,10530,,49080.0,,,,,,83220.0,,,65610.0,,,,,,,,,,,,
,,,45060.0,,,,10590,,49140.0,,,,,,83370.0,,,65910.0,,,,,,,,,,,,
,,,45360.0,,,,10620,,49290.0,,,,,,83460.0,,,66210.0,,,,,,,,,,,,
,,,45660.0,,,,10710,,49380.0,,,,,,83520.0,,,66510.0,,,,,,,,,,,,
,,,45960.0,,,,10740,,49440.0,,,,,,83670.0,,,66810.0,,,,,,,,,,,,
,,,46260.0,,,,10830,,49680.0,,,,,,83760.0,,,67110.0,,,,,,,,,,,,
,,,46560.0,,,,10890,,49980.0,,,,,,83820.0,,,84600.0,,,,,,,,,,,,
,,,46860.0,,,,10920,,50280.0,,,,,,83970.0,,,84900.0,,,,,,,,,,,,
,,,47160.0,,,,11010,,50580.0,,,,,,84060.0,,,85200.0,,,,,,,,,,,,
,,,,,,,11040,,,,,,,,84120.0,,,85500.0,,,,,,,,,,,,
,,,,,,,11130,,,,,,,,84270.0,,,85800.0,,,,,,,,,,,,
,,,,,,,11190,,,,,,,,,,,86100.0,,,,,,,,,,,,
,,,,,,,11220,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11310,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11340,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11430,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11490,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11520,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11610,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11640,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11730,,,,,,,,,,,,,,,,,,,,,,,
